,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Savonlinna,61.8699,28.88,24.8,93,75,3.44,FI
1,Codrington,-38.2667,141.9667,65.07,57,0,8.46,AU
2,Puerto Ayora,-0.7393,-90.3518,78.01,90,51,7.0,EC
3,San Cristobal,7.7669,-72.225,65.71,72,84,1.39,VE
4,Guerrero Negro,27.9769,-114.0611,60.84,65,100,15.99,MX
5,Coquimbo,-29.9533,-71.3436,66.2,82,90,6.91,CL
6,Tuatapere,-46.1333,167.6833,66.83,45,100,0.78,NZ
7,Bredasdorp,-34.5322,20.0403,66.99,84,0,6.22,ZA
8,Goderich,43.7501,-81.7165,24.8,74,100,2.3,CA
9,São Filipe,14.8961,-24.4956,74.12,61,100,9.13,CV
10,Rikitea,-23.1203,-134.9692,79.5,70,0,11.34,PF
11,Richmond,37.5538,-77.4603,35.01,51,75,3.44,US
12,Thinadhoo,0.5333,72.9333,81.72,77,3,11.39,MV
13,Shimoda,34.6667,138.95,50.0,62,20,5.75,JP
14,Saint-Augustin,51.226,-58.6502,28.81,92,100,16.96,CA
15,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,40,3.44,CA
16,Saint-Philippe,-21.3585,55.7679,78.8,65,0,6.91,RE
17,Cabatuan,10.8794,122.486,77.59,78,74,17.65,PH
18,Kalmunai,7.4167,81.8167,76.39,86,100,4.83,LK
19,Tiksi,71.6872,128.8694,-27.38,86,100,5.08,RU
20,Castro,-24.7911,-50.0119,65.57,97,100,5.08,BR
21,Mataura,-46.1927,168.8643,71.98,37,96,3.56,NZ
22,Kaberamaido,1.7389,33.1594,71.64,65,22,3.42,UG
23,Baruun-Urt,46.6806,113.2792,5.41,95,100,2.42,MN
24,Grindavik,63.8424,-22.4338,21.2,73,0,6.91,IS
25,Saint George,37.1041,-113.5841,50.0,50,1,2.26,US
26,Alice Springs,-23.7,133.8833,87.8,22,57,16.11,AU
27,Ribeira Grande,38.5167,-28.7,63.12,91,94,21.79,PT
28,Valparaíso,-33.0393,-71.6273,66.0,100,90,4.61,CL
29,Kirakira,-10.4544,161.9205,83.91,79,99,14.76,SB
30,San Quintín,30.4833,-115.95,58.86,68,0,10.45,MX
31,Nikolskoye,59.7035,30.7861,25.0,93,75,4.47,RU
32,Nuuk,64.1835,-51.7216,17.6,86,20,8.05,GL
33,Samarai,-10.6167,150.6667,85.1,73,100,19.04,PG
34,Macenta,8.5435,-9.471,68.45,44,0,1.59,GN
35,Hong Kong,22.2855,114.1577,64.0,63,0,1.01,HK
36,Coyhaique,-45.5752,-72.0662,64.4,45,0,9.22,CL
37,Tilichiki,60.4667,166.1,-10.53,91,91,15.73,RU
38,Kiomboi,-4.2667,34.3667,60.33,89,100,3.24,TZ
39,Barrow,71.2906,-156.7887,-11.2,70,90,6.91,US
40,Ushuaia,-54.8,-68.3,51.8,62,20,21.85,AR
41,Santa Cruz de la Sierra,-17.8,-63.1667,76.69,79,100,14.85,BO
42,Avarua,-21.2078,-159.775,82.4,74,75,6.91,CK
43,Punta Arenas,-53.15,-70.9167,51.8,62,0,26.46,CL
44,Flinders,-34.5833,150.8552,73.0,86,100,5.01,AU
45,Yellowknife,62.456,-114.3525,-13.0,77,20,4.61,CA
46,Adrar,20.5022,-10.0711,65.71,25,60,7.56,MR
47,Olafsvik,64.8945,-23.7142,23.04,89,30,16.82,IS
48,New Norfolk,-42.7826,147.0587,73.0,28,6,1.74,AU
49,Caravelas,-17.7125,-39.2481,75.36,85,0,5.08,BR
50,Carnarvon,-24.8667,113.6333,84.2,79,0,5.75,AU
51,Ola,59.5833,151.2833,-13.29,81,62,16.24,RU
52,Ostrovnoy,68.0531,39.5131,14.54,95,100,7.47,RU
53,Chui,-33.6971,-53.4616,71.51,88,100,12.12,UY
54,Pangnirtung,66.1451,-65.7125,-8.93,74,23,2.57,CA
55,Lorengau,-2.0226,147.2712,82.87,81,100,11.12,PG
56,Jamestown,42.097,-79.2353,18.0,86,1,3.44,US
57,Salalah,17.0151,54.0924,66.2,68,0,3.44,OM
58,Rio Grande,-32.035,-52.0986,75.81,91,86,13.24,BR
59,Kashiwazaki,37.3667,138.55,32.0,95,94,13.96,JP
60,Cape Town,-33.9258,18.4232,71.01,77,75,5.75,ZA
61,Gorontalo,0.5412,123.0595,82.18,61,100,3.33,ID
62,Bandar,2.05,99.75,74.82,87,29,2.13,ID
63,Khandyga,62.6667,135.6,-48.6,76,80,1.28,RU
64,Sittwe,20.15,92.9,65.82,61,100,8.81,MM
65,Butaritari,3.0707,172.7902,81.23,78,53,18.37,KI
66,Kyabram,-36.3167,145.05,77.0,44,0,7.7,AU
67,Qaanaaq,77.484,-69.3632,-5.67,80,100,2.84,GL
68,Umba,66.6871,34.3429,12.51,96,100,6.42,RU
69,Hermanus,-34.4187,19.2345,66.99,84,0,9.35,ZA
70,Shar,49.5886,81.0453,5.11,90,100,7.27,KZ
71,Jardim,-21.4803,-56.1381,77.14,82,4,6.78,BR
72,Saint Paul Harbor,57.79,-152.4072,33.8,55,1,23.02,US
73,Hobart,-42.8794,147.3294,73.0,40,20,11.5,AU
