,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Rikitea,-23.1203,-134.9692,26.6,67,97,2.9,PF
1,Paamiut,61.994,-49.6678,0.94,82,74,3.92,GL
2,Mar del Plata,-38.0023,-57.5575,23.0,60,75,3.09,AR
3,Berlevåg,70.8578,29.0864,-6.0,79,75,4.12,NO
4,Yar-Sale,66.8333,70.8333,-40.76,80,16,2.04,RU
5,Hong Kong,22.2855,114.1577,15.0,69,0,0.45,HK
6,Ferme-Neuve,46.7001,-75.4493,-13.0,61,100,4.63,CA
7,Oranjemund,-28.55,16.4333,16.69,82,0,6.5,NA
8,Sambava,-14.2667,50.1667,24.99,87,100,1.89,MG
9,Maltahöhe,-24.8333,16.9833,26.68,18,1,3.81,NA
10,Opuwo,-18.0607,13.84,21.79,62,96,3.48,NA
11,Bluff,-46.6,168.3333,8.89,80,87,3.58,NZ
12,Imeni Poliny Osipenko,52.4201,136.4853,-21.74,91,100,5.14,RU
13,Belmonte,-15.8631,-38.8828,29.0,74,75,2.06,BR
14,Hilo,19.7297,-155.09,22.0,83,90,3.6,US
15,Vila Velha,-20.3297,-40.2925,27.22,74,0,8.75,BR
16,Ushuaia,-54.8,-68.3,6.0,70,75,5.14,AR
17,Cidreira,-30.1811,-50.2056,26.44,87,100,3.71,BR
18,Oparino,59.8518,48.2783,-7.9,97,100,3.35,RU
19,Tual,-5.6667,132.75,28.41,75,100,6.13,ID
20,Barrow,71.2906,-156.7887,-24.0,77,90,4.12,US
21,Saint-Pierre,-21.3393,55.4781,26.0,65,0,2.06,RE
22,Punta Arenas,-53.15,-70.9167,10.0,50,75,8.75,CL
23,Porbandar,21.6422,69.6093,17.33,35,47,5.24,IN
24,Geraldton,-28.7667,114.6,28.0,21,0,10.29,AU
25,Maniitsoq,65.4167,-52.9,-5.11,75,0,2.23,GL
26,Albany,42.6001,-73.9662,-8.33,43,64,5.36,US
27,Pekan,3.4836,103.3996,23.0,94,20,1.54,MY
28,Ribeira Grande,38.5167,-28.7,16.0,77,20,3.6,PT
29,Thompson,55.7435,-97.8558,-14.0,78,90,2.57,CA
30,Otradnoye,59.7775,30.8181,0.56,92,100,2.74,RU
31,Port Elizabeth,-33.918,25.5701,17.0,82,40,2.57,ZA
32,Richards Bay,-28.783,32.0377,22.53,87,93,0.94,ZA
33,Hobart,-42.8794,147.3294,17.78,88,20,3.09,AU
34,Cavalcante,-13.7975,-47.4583,25.1,75,72,1.01,BR
35,Iqaluit,63.7506,-68.5145,-25.0,70,1,8.23,CA
36,Port Hedland,-20.3167,118.5667,27.0,89,16,2.57,AU
37,Quatre Cocos,-20.2078,57.7625,27.0,83,40,5.14,MU
38,Egvekinot,66.3167,-179.1667,-29.93,84,2,5.15,RU
39,Saint-Philippe,-21.3585,55.7679,26.0,65,0,2.06,RE
40,Arraial do Cabo,-22.9661,-42.0278,26.0,73,0,7.72,BR
41,Burnie,-41.0667,145.9167,15.0,99,96,1.34,AU
42,Avarua,-21.2078,-159.775,29.0,79,20,3.6,CK
43,Esperance,-33.8667,121.9,13.0,94,1,2.57,AU
44,Salalah,17.0151,54.0924,23.0,60,75,2.57,OM
45,Neuquén,-38.9516,-68.0591,23.0,56,0,4.63,AR
46,Maków Mazowiecki,52.8649,21.1005,-0.56,86,97,1.99,PL
47,Semey,50.4111,80.2275,-10.26,92,12,2.84,KZ
48,Cape Town,-33.9258,18.4232,20.56,82,20,4.12,ZA
49,Tuatapere,-46.1333,167.6833,8.89,80,4,3.58,NZ
50,Mataura,-46.1927,168.8643,8.89,80,29,3.58,NZ
51,La Rioja,42.25,-2.5,9.0,93,0,3.04,ES
52,Kaitangata,-46.2817,169.8464,12.78,73,78,1.66,NZ
53,Vaini,-21.2,-175.2,25.0,94,90,4.12,TO
54,Leningradskiy,69.3833,178.4167,-31.03,84,97,4.01,RU
55,Puerto Escondido,15.85,-97.0667,30.0,70,40,2.06,MX
56,Katsuura,35.1333,140.3,3.0,48,0,8.23,JP
57,Broome,42.2506,-75.833,-8.89,62,20,6.69,US
58,Quibor,9.9287,-69.6201,30.0,39,20,3.6,VE
59,Constitución,-35.3333,-72.4167,17.82,83,100,3.45,CL
60,Liberal,37.0431,-100.921,12.0,40,1,4.63,US
61,Mehamn,71.0357,27.8492,-6.0,73,0,1.54,NO
62,Port Alfred,-33.5906,26.891,18.33,88,1,0.45,ZA
63,Cabo San Lucas,22.8909,-109.9124,29.0,64,1,9.77,MX
64,Qaanaaq,77.484,-69.3632,-26.02,60,0,2.05,GL
65,Butaritari,3.0707,172.7902,27.0,75,93,8.33,KI
66,Khatanga,71.9667,102.5,-42.63,73,0,0.92,RU
67,Ancud,-41.8697,-73.8203,17.0,51,0,3.6,CL
68,Portmore,17.9702,-76.8672,31.0,58,75,1.54,JM
69,Busselton,-33.65,115.3333,16.67,85,0,2.24,AU
70,Itacaré,-14.2775,-38.9967,28.0,78,40,2.06,BR
71,Necochea,-38.5473,-58.7368,23.89,50,76,2.14,AR
